USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
tanu              5467  23.2 11.7 439615520 984320   ??  Ss    3:33PM  14:08.06 /System/Library/Frameworks/Virtualization.framework/Versions/A/XPCServices/com.apple.Virtualization.VirtualMachine.xpc/Contents/MacOS/com.apple.Virtualization.VirtualMachine
tanu              7069   8.6  4.0 1953268288 338224   ??  S    10:50AM   2:11.04 /Applications/Visual Studio Code.app/Contents/Frameworks/Code Helper (Renderer).app/Contents/MacOS/Code Helper (Renderer) --type=renderer --user-data-dir=/Users/tanu/Library/Application Support/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --cors-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --fetch-schemes=vscode-webview,vscode-file,vscode-remote-resource,vscode-managed-remote-resource --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --app-path=/Applications/Visual Studio Code.app/Contents/Resources/app --enable-sandbox --enable-blink-features=HighlightAPI --max-active-webgl-contexts=32 --disable-blink-features=FontMatchingCTMigration,StandardizedBrowserZoom, --lang=en-GB --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1788485273752992 --launch-time-ticks=13965013493 --shared-files --field-trial-handle=1718379636,r,8224580139564391196,15605330775160108997,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker,ScreenCaptureKitPickerScreen,ScreenCaptureKitStreamPickerSonoma --disable-features=CalculateNativeWinOcclusion,DropInputEventsWhilePaintHolding,LocalNetworkAccessChecks,ScreenAIOCREnabled,SpareRendererForSitePerProcess,TimeoutHangingVideoCaptureStarts,TraceSiteInstanceGetProcessCreation --variations-seed-version --pseudonymization-salt-handle=1935764596,r,5021548839340329152,6410795907639236652,4 --trace-process-track-uuid=3190708990060038890 --vscode-window-config=vscode:0215890c-b801-4613-9079-f881a0873cb1 --seatbelt-client=64
_nsurlsessiond     881   0.0  0.0 435305248   1632   ??  S    Thu12AM   0:00.58 /usr/sbin/distnoted agent
_mds_stores        871   0.0  0.4 442548384  34144   ??  Ss   Thu12AM   1:22.02 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
_locationd         802   0.0  0.0 435305696   1632   ??  S    Thu12AM   0:00.58 /usr/sbin/distnoted agent
_appleevents       793   0.0  0.0 435341456   2448   ??  Ss   Thu12AM   0:00.33 /System/Library/CoreServices/appleeventsd --server
_cmiodalassistants   763   0.0  0.0 435341088   2864   ??  Ss   Thu12AM   0:00.17 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
_cmiodalassistants   762   0.0  0.0 435339312   2544   ??  Ss   Thu12AM   0:00.07 /usr/libexec/cameracaptured
root               761   0.0  0.0 436611968   2384   ??  Ss   Thu12AM   0:00.13 /Library/PrivilegedHelperTools/com.docker.vmnetd
root               740   0.0  0.0 435341584   2448   ??  S    Thu12AM   0:00.43 /usr/sbin/systemstats --logger-helper /private/var/db/systemstats
_accessoryupdater   736   0.0  0.0 435305360   1616   ??  S    Thu12AM   0:00.58 /usr/sbin/distnoted agent
root               709   0.0  0.0 435367728   3072   ??  Ss   Thu12AM   0:00.40 /usr/libexec/searchpartyd
_audiomxd          700   0.0  0.0 435304848   1616   ??  S    Thu12AM   0:00.56 /usr/sbin/distnoted agent
_softwareupdate    697   0.0  0.0 435305136   1616   ??  S    Thu12AM   0:00.59 /usr/sbin/distnoted agent
root               698   0.0  0.0 435306432   2272   ??  Ss   Thu12AM   0:00.04 /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
_cmiodalassistants   691   0.0  0.0 435346000   3552   ??  Ss   Thu12AM   0:49.66 /usr/sbin/appleh13camerad
_cmiodalassistants   690   0.0  0.0 435341616   2544   ??  Ss   Thu12AM   0:00.11 /usr/libexec/com.apple.cmio.videodriverkithostextension.systemextension/Contents/MacOS/com.apple.cmio.videodriverkithostextension
_driverkit         683   0.0  0.0 435239776    928   ??  Ss   Thu12AM   0:00.28 /System/Library/DriverExtensions/com.apple.AppleUserHIDDrivers.dext/com.apple.AppleUserHIDDrivers com.apple.driverkit.AppleUserHIDDrivers 0x100000d16 com.apple.AppleUserHIDDrivers
_driverkit         682   0.0  0.0 435239360    880   ??  Ss   Thu12AM   0:00.06 /System/Library/DriverExtensions/com.apple.DriverKit-IOUserDockChannelSerial.dext/com.apple.DriverKit-IOUserDockChannelSerial com.apple.IOUserDockChannelSerial 0x100000d14 com.apple.DriverKit-IOUserDockChannelSerial
_analyticsd        628   0.0  0.1 435351760   7632   ??  Ss   Thu12AM   0:10.58 /System/Library/PrivateFrameworks/CoreAnalytics.framework/Support/analyticsd
_cmiodalassistants   671   0.0  0.0 435305440   1616   ??  S    Thu12AM   0:00.57 /usr/sbin/distnoted agent
root               667   0.0  0.1 435342272   4352   ??  Ss   Thu12AM   0:03.34 /usr/sbin/WirelessRadioManagerd
root               665   0.0  0.0 435341328   4112   ??  Ss   Thu12AM   0:04.97 /System/Library/CoreServices/TimeMachine/backupd
root               664   0.0  0.0 435305024   2480   ??  Ss   Thu12AM   0:00.05 /usr/libexec/ApplicationFirewall/socketfilterfw
root               663   0.0  0.0 435518672   2640   ??  Ss   Thu12AM   0:12.90 /usr/libexec/audioclocksyncd
root               659   0.0  0.0 435305760   2144   ??  Ss   Thu12AM   0:00.67 /usr/sbin/mDNSResponderHelper
root               646   0.0  0.0 435305392   1760   ??  S    Thu12AM   0:00.63 /usr/sbin/distnoted agent
_locationd         570   0.0  0.2 435369312  17424   ??  Ss   Thu12AM   0:52.87 /usr/libexec/locationd
root               645   0.0  0.1 435342976   4864   ??  Ss   Thu12AM   0:02.05 /System/Library/Frameworks/Security.framework/Versions/A/XPCServices/authd.xpc/Contents/MacOS/authd
_windowserver      641   0.0  0.0 435305296   1616   ??  S    Thu12AM   0:00.62 /usr/sbin/distnoted agent
_audiomxd          643   0.0  0.0 435341072   3568   ??  Ss   Thu12AM   0:00.99 /usr/libexec/audiomxd
_coreaudiod        638   0.0  0.0 435371792   2704   ??  Ss   Thu12AM   0:00.07 Core Audio Driver (ParrotAudioPlugin.driver)
root             11781   0.0  0.0 435299408   1568 s004  R+   11:08AM   0:00.00 ps aux
_coreaudiod        627   0.0  0.0 435305360   1616   ??  S    Thu12AM   0:00.63 /usr/sbin/distnoted agent
_networkd          630   0.0  0.1 435346320   7984   ??  Ss   Thu12AM   0:23.09 /usr/libexec/symptomsd
root               626   0.0  0.1 435344144   4640   ??  Ss   Thu12AM   0:01.34 /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd
root               623   0.0  0.1 435466176   6528   ??  Ss   Thu12AM   3:42.27 /usr/libexec/mobileassetd
_nsurlsessiond     610   0.0  0.0 435345920   3872   ??  Ss   Thu12AM   0:03.62 /usr/libexec/nsurlsessiond --privileged
root               609   0.0  0.0 435339696   1936   ??  Ss   Thu12AM   0:00.20 /usr/libexec/apfsd
root               607   0.0  0.0 435560384   3952   ??  Ss   Thu12AM   0:24.95 /usr/libexec/lsd runAsRoot
_coreaudiod        606   0.0  0.1 435371616   6752   ??  Ss   Thu12AM   4:56.02 /usr/sbin/coreaudiod
root               604   0.0  0.1 435344656  11136   ??  Ss   Thu12AM   2:43.65 /usr/libexec/runningboardd
_trustd            603   0.0  0.1 435344256   7040   ??  Ss   Thu12AM   0:26.09 /usr/libexec/trustd
root               601   0.0  0.0 435355664   2160   ??  Ss   Thu12AM   0:01.11 /System/Library/CoreServices/coreservicesd
_distnote          577   0.0  0.0 435305744   2784   ??  Ss   Thu12AM   0:04.26 /usr/sbin/distnoted daemon
_corespeechd       545   0.0  0.0 435334560   1232   ??  Ss   Thu12AM   0:00.04 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd_system
_timed             566   0.0  0.0 435340384   2672   ??  Ss   Thu12AM   0:02.56 /usr/libexec/timed
_usbmuxd           567   0.0  0.0 435351552   1840   ??  Ss   Thu12AM   0:00.26 /System/Library/PrivateFrameworks/MobileDevice.framework/Versions/A/Resources/usbmuxd -launchd
tanu               597   0.0  0.1 435632176   7744   ??  Ss   Thu12AM   1:02.20 /System/Library/CoreServices/loginwindow.app/Contents/MacOS/loginwindow console
root               596   0.0  0.0 435305552   4144   ??  Ss   Thu12AM   0:18.26 /usr/sbin/cfprefsd daemon
root               595   0.0  0.1 435352624   6784   ??  Ss   Thu12AM   0:13.35 /System/Library/PrivateFrameworks/TCC.framework/Support/tccd system
root               537   0.0  0.0 435305584   2016   ??  Ss   Thu12AM   0:00.03 /usr/libexec/IOMFB_bics_daemon
root               530   0.0  0.1 435341504   5248   ??  Ss   Thu12AM   0:02.88 /usr/sbin/systemstats --daemon
root               527   0.0  0.1 435347184   4800   ??  Ss   Thu12AM   0:02.34 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted
root               579   0.0  0.1 435347152  11152   ??  Ss   Thu12AM   2:12.27 /usr/libexec/PerfPowerServices
root               592   0.0  0.0 435359104   3936   ??  Ss   Thu12AM   0:01.24 /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/com.apple.cmio.registerassistantservice
root               582   0.0  0.0 435341296   2352   ??  Ss   Thu12AM   0:00.13 /System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/Support/revisiond
root               561   0.0  0.1 435348624   8000   ??  Ss   Thu12AM   0:10.55 /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored
root               558   0.0  0.0 435305664    560   ??  Ss   Thu12AM   0:02.55 /usr/sbin/syslogd
root               536   0.0  0.1 435342832   6816   ??  Ss   Thu12AM   0:14.72 /System/Library/CoreServices/powerd.bundle/powerd
root               534   0.0  0.1 435345744   4384   ??  Ss   Thu12AM   0:20.76 /usr/libexec/configd
root               574   0.0  0.1 435347472   6448   ??  Ss   Thu12AM   0:42.48 /usr/libexec/dasd
root               522   0.0  0.1 435415824  11456   ??  Ss   Thu12AM   0:59.43 /usr/libexec/logd
root               568   0.0  0.0 435343264   4144   ??  Ss   Thu12AM   0:02.22 /usr/sbin/securityd -i
root               583   0.0  0.0 435301776   1088   ??  Ss   Thu12AM   0:00.02 /usr/sbin/KernelEventAgent
root               547   0.0  0.0 435305296   2560   ??  Ss   Thu12AM   0:00.68 /usr/libexec/watchdogd
root               560   0.0  0.0 435339568   3344   ??  Ss   Thu12AM   0:02.42 /usr/libexec/thermalmonitord
root               581   0.0  0.0 435304912   2320   ??  Ss   Thu12AM   0:00.23 /System/Library/CoreServices/logind
root               551   0.0  0.2 435406672  15184   ??  Ss   Thu12AM   1:24.28 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds
root               564   0.0  0.1 435469392   7184   ??  Ss   Thu12AM   0:09.93 /System/Library/PrivateFrameworks/ApplePushService.framework/apsd
root               591   0.0  0.0 435306800   2768   ??  Ss   Thu12AM   0:00.75 /usr/libexec/AirPlayXPCHelper
root               562   0.0  0.1 435394032   6848   ??  Ss   Thu12AM   0:00.46 /usr/libexec/xprotectd
root               541   0.0  0.0 435340064   2272   ??  Ss   Thu12AM   0:00.13 /usr/libexec/remoted
root               553   0.0  0.0 435343840   2608   ??  Ss   Thu12AM   0:01.16 /usr/libexec/kernelmanagerd
root               554   0.0  0.0 435340048   3920   ??  Ss   Thu12AM   0:01.99 /usr/libexec/diskarbitrationd
root               588   0.0  0.0 435305440   3072   ??  Ss   Thu12AM   0:11.60 /usr/sbin/notifyd
root               573   0.0  0.0 435301488   1744   ??  Ss   Thu12AM   0:00.03 autofsd
root               587   0.0  0.1 435365504   7376   ??  Ss   Thu12AM   0:04.80 /usr/sbin/bluetoothd
root               575   0.0  0.0 435340528   2592   ??  Ss   Thu12AM   0:00.09 /usr/libexec/corerepaird
root               524   0.0  0.1 435375648   6784   ??  Ss   Thu12AM   0:07.69 /usr/libexec/UserEventAgent (System)
root               636   0.0  0.0 435346272   3104   ??  Ss   Thu12AM   0:05.33 /usr/libexec/eligibilityd
tanu             11750   0.0  0.2 435359200  18688   ??  S    11:07AM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
tanu             11677   0.0  0.2 435358640  18432   ??  S    11:07AM   0:00.10 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
tanu             11626   0.0  0.2 435358832  15744   ??  S    11:06AM   0:00.12 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
tanu             11627   0.0  0.3 435359008  21536   ??  S    11:06AM   0:00.15 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
tanu             11141   0.0  0.2 435358896  17328   ??  S    11:06AM   0:00.30 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdworker_shared -s mdworker -c MDSImporterWorker -m com.apple.mdworker.shared
root             11130   0.0  0.1 435339936   8352   ??  Ss   11:04AM   0:00.12 /usr/libexec/PowerUIAgent
root             11128   0.0  0.0 435394608   3920   ??  Ss   11:04AM   0:00.23 /System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService
_networkd        10828   0.0  0.1 435339664   4608   ??  S    11:02AM   0:00.12 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_locationd       10827   0.0  0.1 435339616   4256   ??  S    11:02AM   0:00.11 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_locationd       10826   0.0  0.1 435342624   6416   ??  S    11:02AM   0:00.16 /usr/libexec/trustd --agent
_cmiodalassistants 10825   0.0  0.1 435339472   4224   ??  S    11:02AM   0:00.07 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_networkd        10823   0.0  0.1 435342768   6368   ??  S    11:02AM   0:00.17 /usr/libexec/trustd --agent
root             10824   0.0  0.0 435340576   3408   ??  Ss   11:02AM   0:00.06 /usr/libexec/trustdFileHelper
_locationd       10821   0.0  0.0 435305280   2128   ??  S    11:02AM   0:00.07 /usr/sbin/cfprefsd agent
root             10822   0.0  0.1 435339152   4208   ??  S    11:02AM   0:00.08 /usr/libexec/containermanagerd --runmode=agent --user-container-mode=current --bundle-container-mode=proxy --system-container-mode=none
_cmiodalassistants 10820   0.0  0.1 435342432   6400   ??  S    11:02AM   0:00.16 /usr/libexec/trustd --agent
root             10819   0.0  0.1 435343808   4272   ??  Ss   11:02AM   0:00.08 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
_cmiodalassistants 10818   0.0  0.0 435305376   2160   ??  S    11:02AM   0:00.06 /usr/sbin/cfprefsd agent
_networkd        10817   0.0  0.1 435352480   6960   ??  S    11:02AM   0:00.09 /usr/libexec/secinitd
_locationd       10816   0.0  0.1 435351856   6896   ??  S    11:02AM   0:00.09 /usr/libexec/secinitd
